codi;sigles;assignatura
230676;PCRES;POWER CONTROL FOR RENEWABLE ENERGY SYSTEMS
230679;PVS;PHOTOVOLTAIC SYSTEMS
230685;ASPTA;ADVANCED SIGNAL PROCESSING: TOOLS AND APPLICATIONS
230692;TECHDEV;MANUFACTURING AND CHARACTERISATION TECHNOLOGIES FOR MICRO AND NANODEVICES
230695;ACO;APPLIED CONVEX OPTIMISATION
230696;MLAB;MATLAB: FUNDAMENTALS AND/OR APPLICATIONS
230697;OFLAB;FIBRE OPTIC TELECOMMUNICATIONS LABORATORY
230699;SHORT;SHORT RANGE COMMUNICATIONS
230704;ORS;OPTICAL REMOTE SENSING: LIDAR (LASER RADAR)
230708;I2P;INTERDISCIPLINARY INNOVATION PROJECT
230711;UCASES;CYBERSECURITY USE CASES
230714;NSAA;NETWORK SECURITY: AUTHENTICATION AND AUTHORISATION
230717;AHLT;ADVANCED HUMAN LANGUAGE TECHNOLOGIES
230724;AI5G;ARTIFICIAL INTELLIGENCE-ENABLED 5G RADIO NETWORKS
230726;CVDL;COMPUTER VISION WITH DEEP LEARNING
230742;QOC;QUANTUM OPTICAL COMMUNICATIONS
230743;AI4EO;AI AND BIG DATA FOR EARTH OBSERVATION
230746;BMI;BIOMEDICAL IMAGING
230853;LF;LARGE FACILITIES: SYNCHROTRON AND NEUTRON SOURCES
230856;MLN;MACHINE LEARNING WITH NEURAL NETWORKS
230858;MSM;MOLECULAR AND SOFT CONDENSED MATTER
230860;CBS;COMPLEXITY IN BIOLOGICAL SYSTEMS
230861;SM;STOCHASTIC METHODS FOR OPTIMISATION AND SIMULATION
230864;BMSC;CHARACTERISATION IN BIOPHYSICS AND MATERIALS SCIENCE
230865;MSD;PHARMACEUTICAL MATERIALS SCIENCE
230905;AC;ANÀLISI DE CIRCUITS
230906;PRD;PROGRAMACIÓ I ESTRUCTURES DE DADES
230907;EMG;ELECTROMAGNETISME
230908;CVEC;CÀLCUL VECTORIAL
230909;EDT;EQUACIONS DIFERENCIALS I TRANSFORMADES
230915;CA;CIRCUITS ANALÒGICS
230916;EMB;SISTEMES INCRUSTATS
230917;ICAF;INTRODUCCIÓ ALS CIRCUITS D'ALTA FREQÜÈNCIA
230918;TRS;TRACTAMENT DEL SENYAL
230919;EP;EMPRESA I PROJECTES
230925;IOT;INTERNET DE LES COSES
230926;RT;SISTEMES EN TEMPS REAL
230927;PEE;PROCESSAMENT DE L'ENERGIA ELÈCTRICA
230928;TEL;TECNOLOGIA ELECTRÒNICA
230929;TEM;TÈCNIQUES PER A L'EMPRENEDORIA
230986;QUAI;PRACTICALS IN QUANTUM COMPUTING AND ARTIFICIAL INTELLIGENCE
230988;QCRYP;QUANTUM CRYPTOGRAPHY
230989;HSES;HARDWARE SECURITY IN EMBEDDED SYSTEMS: PRIMITIVES, WEAKNESSES AND COUNTERMEASURES
230990;DP;DATA PRIVACY
230996;SDS;SOFTWARE-DEFINED SECURITY (SDS)
